code_gene,nom_bdcarthage,dtg_bathy,lon,lat,prof
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12032","45,00096",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12039","45,00076",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12044","45,00065","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12047","45,0006","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12047","45,00052","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12048","45,00041","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12048","45,00031",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12048","45,0002",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12051","45,00009","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12055","44,99998","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12013","45,00145","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00372","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11931","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11933","45,00372","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00371","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,0037","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,0037","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11962","45,00223","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00371","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12046","44,99962",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11931","45,00372","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1193","45,00372","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11929","45,00372","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00333","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,0033","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11953","45,00303","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11945","45,00274","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11941","45,00269","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11939","45,00262","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11941","45,00253","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11944","45,00246","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,00371","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11204","44,99209","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11437","44,99491","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11418","44,9947","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11393","44,99445","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11372","44,99417","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11351","44,99391","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1134","44,99377","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11333","44,99369","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11318","44,99348","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11298","44,99319","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11271","44,99292","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12054","44,99987","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11224","44,99236","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11501","44,99533","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11183","44,99182","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11172","44,9916","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11158","44,99135","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11144","44,99107","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1113","44,99076","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11126","44,99044","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11125","44,99014","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11126","44,98989","0,9"
